species;speciesKey;lat;lon;HFP09;Elevation;continents;Status;IUCNonly;time_period
Liparis ascendens;5323123;1.46665;13.5667;2.49697768688202;648.5;{'AFRICA'};EXT;False;2041/2060
Liparis goodyeroides;5323109;4.884083333333334;9.358616666666666;8.234185536702475;537.8333333333334;{'AFRICA'};EXT;True;2041/2060
Liparis gracilenta;5323067;1.6373666666666666;8.235716666666667;5.449722707271575;1035.5;{'AFRICA'};EXT;False;2041/2060
Liparis kamerunensis;5323329;4.165;9.175;7.2849225997924805;2610.5;{'AFRICA'};EXT;False;2041/2060
Liparis platyglossa;5323257;4.547977777777778;9.506644444444444;11.279910670386421;705.4444444444445;{'AFRICA'};EXT;False;2041/2060
Liparis suborbicularis;5323281;5.7727875;9.0112125;9.868674457073213;887.125;{'AFRICA'};EXT;False;2041/2060
Macradenia rubescens;2804447;-1.0;-59.0;1.0;209.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Malaxis chevalieri;2807832;8.133333333333333;2.2055333333333333;9.703487396240243;433.3333333333333;{'AFRICA'};EXT;False;2041/2060
Masdevallia ariasii;2848479;-2.4667;-78.1667;19.313793182373;818.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Masdevallia draconis;2848323;-2.75;-78.08;4.72822380065918;1724.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Masdevallia leucantha;2849026;-2.248;-78.26;1.27326035499573;2010.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Masdevallia schlimii;2848093;8.4544;-71.2397;9.28561115264893;1386.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Masdevallia wuelfinghoffiana;2848246;-3.97;-79.03;12.0;1818.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Maxillaria brachypoda;5318335;-0.8667;-76.0833;0.10933618247509;237.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Maxillaria lilliputana;5317922;-4.99;-78.9;4.0;2034.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Microchilus pacaizapae;5315177;-6.2167;-76.8;6.10721445083618;1072.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Microchilus paleaceus;5315088;4.288;-73.8185;10.6613206863403;2172.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Microchilus palmazuensis;5542190;-10.5333;-75.3833;3.36643981933594;2659.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Microcoelia leptostele;5311124;2.018225;25.92465;7.5;718.0;{'AFRICA'};EXT;False;2041/2060
Myoxanthus neillii;2801894;-1.8167;-76.7;0.0714894384145737;280.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
Nephrangis bertauxiana;2832421;2.452142857142857;11.976371428571428;4.874715157917569;573.7142857142857;{'AFRICA'};EXT;False;2041/2060
Oberonia integerrima;5312755;23.5311;99.4119;33.0;1071.0;{'ASIA-TEMPERATE'};EXT;False;2081/2100
Oncidium blandum;5826379;8.2461;-73.3203;18.6295471191406;1224.0;{'SOUTHERN AMERICA'};EXT;False;2081/2100
